bucket,days,inflows,outflows,net_cashflow,cumulative_gap,post_buffer_liquidity
overnight,1,200342105.46728688,3511419531.552521,-3311077426.085234,-3311077426.085234,2088781221.553762
2d-7d,7,202284796.05817682,1669730925.3744168,-1467446129.31624,-4778523555.401474,621335092.2375221
8d-30d,30,344143181.5119611,2241236390.7662206,-1897093209.2542593,-6675616764.655733,-1275758117.016737
31d-90d,90,466087952.9741169,1208937853.8149672,-742849900.8408502,-7418466665.496583,-2018608017.8575869
91d-1y,365,606223429.8248136,1036309485.7646475,-430086055.93983394,-7848552721.436417,-2448694073.7974205
>1y,730,869743061.5059035,706694046.9473565,163049014.55854702,-7685503706.87787,-2285645059.2388735
