bucket,days,inflows,outflows,net_cashflow,cumulative_gap,post_buffer_liquidity
overnight,1,418041619.26538193,1643037653.807154,-1224996034.5417721,-1224996034.5417721,8235090205.480565
2d-7d,7,454175282.91645336,788124402.1852134,-333949119.26876,-1558945153.810532,7901141086.211805
8d-30d,30,756719203.0719516,1057327382.8091815,-300608179.7372298,-1859553333.547762,7600532906.474575
31d-90d,90,1036368561.0698651,580257001.760038,456111559.3098271,-1403441774.2379348,8056644465.784402
91d-1y,365,1340741779.9422503,493168853.3358396,847572926.6064105,-555868847.6315243,8904217392.390812
>1y,730,1774779201.9251494,339037151.2459278,1435742050.6792216,879873203.0476973,10339959443.070034
